monitor,pollutant,slope,intercept,r2,rmse,n_points,method,reference_monitor,colocation_start,colocation_end,fitted_on,window_name
MOD-00397,pm10,0.9167986166772064,0.6824253338943841,0.7892168539448524,36.3920746753834,38668,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-00398,pm10,0.8151431725754763,9.63538920213998,0.7926925339708132,29.678087759393023,34815,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-00399,pm10,0.8680048363571018,5.387945031353103,0.8133887885468912,24.18161440177617,36029,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-00400,pm10,0.9674578838032238,3.953318929940314,0.8618173307572644,28.306706329002875,29070,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-00401,pm10,0.899934810474167,8.413193023221877,0.8126334428980077,33.177520172670086,32831,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00876,pm10,0.8849745395452925,-0.3127015901460198,0.891533917604913,24.77120202088531,25868,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00877,pm10,0.8542572731287168,2.513769965010192,0.8988258767111844,27.32695465092848,28682,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00878,pm10,0.9909382685269637,0.7949910585928847,0.847287009977475,21.16449652957214,16619,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00879,pm10,0.8546887542364068,0.9158200211334444,0.8877452180639253,33.63072592545984,26461,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00880,pm10,0.8570744300056384,0.163655944411829,0.8893949235883335,15.394557051956497,18517,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00881,pm10,1.1277151938759555,-0.14827072895282967,0.8735103126219717,36.10086002732347,28956,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00882,pm10,1.1604134262436991,-3.7801929809057184,0.9391537020442235,21.70206859381851,35713,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00883,pm10,0.9656025547002036,-1.155448808039818,0.8212094855107018,33.97015140635054,32840,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00884,pm10,1.0546707033213103,-4.02049771826755,0.8931998275475459,28.59071656713699,33511,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00885,pm10,1.0004641658312443,-1.8480445245367263,0.9141691341340402,24.916090305188725,23806,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00886,pm10,1.0564952574872473,-4.688477841274903,0.9224221589975848,19.9804333130256,27958,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00887,pm10,1.1188954696444544,1.2366996987530805,0.9207986168371805,26.31728545468545,28760,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00888,pm10,0.9774284456444272,0.18386237057536237,0.8641954395427421,26.04752033964743,17624,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00889,pm10,1.0842456568451702,-4.349166996061574,0.9002154635615557,20.509648275216048,21621,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00890,pm10,1.017294841185766,-4.568762929257034,0.9438784563915,22.674425429630254,32869,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00891,pm10,1.3611999724917785,-3.2653882809738106,0.925791916453388,25.00736202301764,42813,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00892,pm10,0.9336349390254686,-0.3800253033295922,0.8652989583415226,40.70633111040372,7554,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00893,pm10,0.9434960809362514,1.6339316377235102,0.8713686272707951,27.12476274166485,21569,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
