monitor,pollutant,slope,intercept,r2,rmse,n_points,method,reference_monitor,colocation_start,colocation_end,fitted_on,window_name
MOD-00397,pm25,0.8884998262097705,2.4524836501479275,0.6454741155023695,8.005126647927677,39332,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-00398,pm25,1.031115524472359,0.4688133261546475,0.9377495368613908,3.3622713355734786,35049,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-00399,pm25,1.1196951156300672,-0.01047867593816345,0.9802128087891616,1.5507738520391854,36209,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-00400,pm25,1.0680761240626615,-0.33099208615034603,0.9755892630780312,2.0107667837863907,29331,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-00401,pm25,1.074528741821104,0.6719675100441069,0.96904727883621955,2.2545916790386644,33055,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00876,pm25,1.0204301654400665,-0.5025143318038072,0.9523401902368231,2.79477926692577,26060,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00877,pm25,1.0146137066406764,0.00602628777772338,0.9742498151913208,1.68878624484621,29114,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00878,pm25,1.073423059957732,-0.11468123058193176,0.955913116227998,2.454192124530018,16678,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00879,pm25,1.0529244405463616,-0.10558745434085128,0.9714231571499212,1.8087720536608225,26967,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00880,pm25,0.998368943932666,-0.5973328081067106,0.935253547485204,3.390536458333856,18546,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00881,pm25,0.9417875254571988,0.4544770676220389,0.964143183735156,1.8629208887766493,29574,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
